response_id,submission_timestamp,completion_time_minutes,survey_version,device_type,Q1_industry_sector,Q2_annual_revenue,Q3_number_employees,Q4_geographic_location,Q5_energy_consumption_mwh,Q6_currently_using_h2,Q7_current_h2_source,Q8_annual_h2_consumption_tonnes,Q9_challenge_cost,Q9_challenge_supply,Q9_challenge_certification,Q9_challenge_logistics,Q9_challenge_safety,Q9_challenge_carbon,Q10_influence_uae_net_zero,Q10_influence_uae_hydrogen_strategy,Q10_influence_customer_requirements,Q10_influence_esg_standards,Q10_influence_eu_cbam,Q10_influence_investor_pressure,Q10_influence_board_mandate,Q10_influence_competitive_pressure,Q10_influence_government_incentives,Q10_influence_carbon_credits,Q11_cert_iso_14001,Q11_cert_iso_50001,Q11_cert_uae_ministry,Q11_cert_adnoc_hse,Q11_cert_international_cert,Q11_cert_blockchain_verified,Q11_cert_customer_specific,Q11_cert_carbon_neutral,Q11_cert_green_h2_cert,Q11_cert_none_required,Q12_stakeholder_ceo_csuite,Q12_stakeholder_procurement,Q12_stakeholder_sustainability_officer,Q12_stakeholder_operations,Q12_stakeholder_finance_cfo,Q12_stakeholder_board_directors,Q12_stakeholder_government_relations,Q12_stakeholder_environmental_team,Q12_stakeholder_supply_chain,Q12_stakeholder_external_consultants,Q13_transition_timeline,Q14_sustainability_budget_usd,Q15_h2_budget_percentage,Q16_roi_timeline,Q18_pricing_model,Q17_feature_real_time_pricing,Q17_feature_blockchain_cert,Q17_feature_carbon_tracking,Q17_feature_compliance_reporting,Q17_feature_supply_demand_matching,Q17_feature_logistics_optimization,Q17_feature_safety_monitoring,Q17_feature_predictive_analytics,Q17_feature_erp_integration,Q17_feature_mobile_app,Q17_feature_support_24_7,Q17_feature_insurance_coverage,Q19_integration_sap,Q19_integration_oracle,Q19_integration_microsoft_dynamics,Q19_integration_custom_erp,Q19_integration_iot_sensors,Q19_integration_scada,Q19_integration_banking,Q19_integration_government_portals,Q19_integration_no_integration,Q20_monthly_budget_usd,Q21_platform_fee_percentage,Q22_carbon_value_usd_per_tonne,Q23_likelihood_to_use,Q24_would_recommend,Q25_decision_timeline,Q26_main_concerns,Q27_additional_features,Q28_follow_up,Q28_contact_name,Q28_contact_email,Q28_contact_phone,Q28_contact_company,Q28_contact_title,company_profile_segment
RESP_00001,2025-10-15 16:58:37,13.5,1.0,Mobile,transport,1,1,Dubai,148.0,0,not_applicable,0.0,3,3,3,3,3,3,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,14800.0,10.3,3,freemium,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,600.0,3.0,43.0,-1,-1,long,Training requirements for staff,Benchmarking against industry peers,no,,,,,,small_innovative
RESP_00002,2025-10-30 17:01:37,10.4,1.0,Desktop,transport,1,1,Abu Dhabi,155.0,0,not_applicable,0.0,4,3,2,3,3,5,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,17400.0,9.5,3,freemium,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,550.0,2.7,46.0,-1,-2,none,Training requirements for staff,Real-time alerts and notifications,no,,,,,,small_innovative
RESP_00003,2025-10-14 14:12:37,12.0,1.0,Desktop,transport,2,2,Abu Dhabi,562.0,0,not_applicable,0.0,4,2,2,4,3,3,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,2,24400.0,0.6,4,freemium,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,3140.0,2.7,26.0,-1,-1,none,Scalability for our operations,Customizable workflows,no,,,,,,growing_company
RESP_00004,2025-11-01 23:47:37,15.6,1.0,Mobile,chemical,3,3,Saudi Arabia,877.0,0,not_applicable,0.0,5,3,4,5,2,4,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,3,138800.0,9.7,2,freemium,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,14240.0,5.0,28.0,0,0,long,Training requirements for staff,Customizable workflows,no,,,,,,growing_company
RESP_00005,2025-10-21 00:23:37,13.1,1.0,Desktop,manufacturing,3,3,Dubai,837.0,0,not_applicable,0.0,4,3,2,4,2,3,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,3,81800.0,8.1,4,monthly_subscription,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,8880.0,2.8,77.0,0,0,long,Blockchain technology maturity,AI-powered demand forecasting,no,,,,,,growing_company
RESP_00006,2025-11-01 21:20:37,17.0,1.0,Desktop,chemical,3,3,Abu Dhabi,534.0,0,not_applicable,0.0,3,2,3,5,2,3,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,2,53200.0,14.1,3,freemium,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,7940.0,2.5,65.0,0,0,long,Cost-benefit ratio unclear,Automated reporting dashboards,no,,,,,,growing_company
RESP_00007,2025-11-06 00:16:37,11.9,1.0,Desktop,transport,4,4,Saudi Arabia,3353.0,0,not_applicable,0.0,5,3,3,5,2,4,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,3,188200.0,10.6,5,monthly_subscription,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,50000.0,2.2,41.0,1,2,short,Integration complexity with existing systems,AI-powered demand forecasting,yes,Sara Al-Maktoum,sara.almaktoum@example.com,+971-56-517-6421,Mubadala,Energy Manager,mid_market
RESP_00008,2025-10-14 18:16:37,17.6,1.0,Desktop,transport,3,4,Dubai,3133.0,0,not_applicable,0.0,3,2,2,4,3,4,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,69200.0,6.8,4,transaction_fee,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,15050.0,1.6,69.0,1,1,immediate,Blockchain technology maturity,Real-time alerts and notifications,yes,Abdullah Al-Rashid,abdullah.alrashid@example.com,+971-59-489-8814,ADNOC Group,Operations Head,mid_market
RESP_00009,2025-10-13 18:06:37,8.0,1.0,Tablet,logistics,2,2,Abu Dhabi,1580.0,0,not_applicable,0.0,4,4,3,5,3,5,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,2,47200.0,7.8,4,transaction_fee,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,3820.0,3.0,51.0,-1,-2,none,Training requirements for staff,Benchmarking against industry peers,no,,,,,,growing_company
RESP_00010,2025-10-13 00:09:37,16.0,1.0,Tablet,chemical,3,3,Saudi Arabia,674.0,1,grey,6.1,4,4,3,4,3,4,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,6,122500.0,42.4,2,monthly_subscription,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,14420.0,2.1,39.0,1,2,medium,Scalability for our operations,Automated reporting dashboards,yes,Aisha Al-Ketbi,aisha.alketbi@example.com,+971-50-498-6507,TAQA,Procurement Director,growing_company
